transaction_id,customer_id,amount,hour,day_of_week,distance_from_home,merchant_category,is_fraud
TXN_00000000,861,321.65710652071226,12,6,8.349036518925772,restaurant,0
TXN_00000001,3773,1944.8357144742215,18,2,4.4998233758954775,grocery,0
TXN_00000002,3093,14551.485132956788,11,2,18.237702579293845,grocery,0
TXN_00000003,467,977.7942743605687,6,1,2.0694791654891804,restaurant,0
TXN_00000004,4427,106.71270617289213,20,1,13.467285188684222,restaurant,0
TXN_00000005,3445,86.61076763334172,23,1,3.7196973480752984,grocery,0
TXN_00000006,3172,9621.6247942413,14,6,3.3331124976090813,electronics,0
TXN_00000007,2920,1423.9800532283703,4,2,0.3454542723579881,fuel,0
TXN_00000008,131,838.160474635035,9,6,13.95635793514888,electronics,0
TXN_00000009,1686,1803.524676963884,7,6,6.236991106404226,grocery,0
TXN_00000010,770,2355.142563600931,8,5,22.258187598102356,grocery,0
TXN_00000011,2392,5316.814669618781,4,5,22.333589595043428,fuel,0
TXN_00000012,2434,1461.3489528871662,18,0,44.690769009607386,restaurant,0
TXN_00000013,1185,4794.578262820402,7,0,1.2077053532576127,grocery,0
TXN_00000014,4556,753.4094527263471,23,0,1.8732415155228253,fuel,0
TXN_00000015,3386,1988.055668823103,0,3,9.537489129861385,electronics,0
TXN_00000016,4118,3803.400369101945,13,4,12.096903041264571,restaurant,0
TXN_00000017,4844,1461.5697435347847,21,2,6.613458944484683,electronics,0
TXN_00000018,2905,812.7479642423209,20,2,3.8595749389517793,grocery,0
TXN_00000019,475,4138.716074198318,5,4,2.798472710155771,electronics,0
TXN_00000020,1083,4116.0729347437,1,0,1.0967741708568783,electronics,0
TXN_00000021,2559,829.2844415913962,3,2,11.047713591214407,fuel,0
TXN_00000022,2048,2321.3720345549214,17,4,3.212837330053538,restaurant,0
TXN_00000023,2748,707.1391588765553,14,2,0.7008327227025031,electronics,0
TXN_00000024,976,5665.840473699678,3,5,17.319252628490492,restaurant,0
TXN_00000025,1807,195.2276573005236,20,3,8.299451709287863,restaurant,0
TXN_00000026,190,1204.4037229252199,16,6,20.22645022006971,restaurant,0
TXN_00000027,2735,2625.4219960297364,8,6,4.25263680197958,grocery,0
TXN_00000028,3006,4919.491718240584,8,1,0.05462392893941269,grocery,0
TXN_00000029,4659,3966.369568309422,5,0,29.014653926012564,restaurant,0
TXN_00000030,1900,2880.8538161595015,22,1,14.45363445623795,restaurant,0
TXN_00000031,1268,6511.560813239925,2,3,13.932975981012467,fuel,0
TXN_00000032,1529,61.43612939915456,20,5,6.687081400427333,restaurant,0
TXN_00000033,3203,9719.538478100892,15,3,33.77830977050792,grocery,0
TXN_00000034,3557,1060.905358796715,2,2,6.4965025348326595,restaurant,0
TXN_00000035,3891,3448.3034708220966,1,4,0.4361079781912872,restaurant,0
TXN_00000036,647,818.4533521952773,9,0,2.5283193864028393,electronics,0
TXN_00000037,2889,1338.986036036592,14,5,7.762828164317381,restaurant,0
TXN_00000038,2436,5218.22984713634,0,5,6.583016626596251,grocery,0
TXN_00000039,601,1486.3708262715675,11,3,5.896955238040122,electronics,0
TXN_00000040,2364,5403.4746115401,9,1,6.450479133519842,electronics,0
TXN_00000041,2062,1990.8060725041655,19,6,0.9088454932895359,electronics,0
TXN_00000042,242,766.6477274742708,20,0,16.35090884606729,grocery,0
TXN_00000043,2042,1665.4480072035146,10,6,2.5085376666189925,grocery,0
TXN_00000044,2825,232.32721473574713,1,2,3.4176934431808745,restaurant,0
TXN_00000045,2613,1625.8835555854962,20,5,5.49009635877924,electronics,0
TXN_00000046,1364,3874.0097621267073,6,4,3.7261808579989335,electronics,0
TXN_00000047,1479,178.34080332086873,21,5,0.22969252332066167,fuel,0
TXN_00000048,2557,664.5619744343395,8,1,15.153740148984616,fuel,0
TXN_00000049,776,1372.3801933690165,13,5,1.6117545213132676,electronics,0
TXN_00000050,4015,3545.3175149791396,21,2,8.037417723991053,restaurant,0
TXN_00000051,35,3476.661542540548,5,0,6.831613517743039,grocery,0
TXN_00000052,3153,5457.37408153099,7,1,15.406333579617684,electronics,0
TXN_00000053,1956,393.0770707791244,14,5,7.9601380165855105,restaurant,0
TXN_00000054,1586,423.20557584349854,19,5,4.752336124983943,fuel,0
TXN_00000055,3944,2763.8769385947753,5,1,2.076203716699266,grocery,0
TXN_00000056,3074,496.40225332713806,5,2,0.3452621086958974,restaurant,0
TXN_00000057,1022,1335.3860248234405,23,4,1.1650803192614863,fuel,0
TXN_00000058,3462,1938.0755499360776,12,1,5.599387735163405,restaurant,0
TXN_00000059,2614,742.3345636102885,9,2,2.161076938818346,grocery,0
TXN_00000060,3844,2940.524637756171,19,3,2.2285070043192334,electronics,0
TXN_00000061,1501,4879.362557417716,14,1,26.678362972725,grocery,0
TXN_00000062,4799,30.638340478027917,6,6,17.234993566038163,grocery,0
TXN_00000063,162,853.6380453327793,1,2,4.422436050827203,electronics,0
TXN_00000064,4298,3113.662216628521,8,6,1.1758696527807735,grocery,0
TXN_00000065,1982,806.0104688478008,6,0,6.1948149832895725,fuel,0
TXN_00000066,996,1850.3606036307826,0,2,7.478964350778469,fuel,0
TXN_00000067,4912,3531.220316230913,15,0,6.575643212538414,restaurant,0
TXN_00000068,3343,1052.8793467710545,21,1,10.304039414251234,restaurant,0
TXN_00000069,4552,3872.8005987810798,6,4,14.154376799585032,grocery,0
TXN_00000070,3799,4233.905215850856,21,6,1.1508463715784532,grocery,0
TXN_00000071,1276,11802.404959112704,14,5,0.7951663713448112,grocery,0
TXN_00000072,1017,1415.4610492876477,23,0,10.235202617088007,grocery,0
TXN_00000073,338,1614.6908396572044,21,0,3.5985032628963807,fuel,0
TXN_00000074,879,3818.3490070985977,16,3,7.330219164126252,fuel,0
TXN_00000075,1077,5061.977266146267,4,6,1.0523143782292828,electronics,0
TXN_00000076,4888,1759.1559142138824,4,6,1.7059613780648717,fuel,0
TXN_00000077,3994,54.90778251125601,18,3,1.5502595753641504,electronics,0
TXN_00000078,4860,1531.383112974314,14,0,21.47981926650891,grocery,0
TXN_00000079,380,638.017232122135,16,1,1.9905830470973602,electronics,0
TXN_00000080,493,254.22413553291972,22,5,6.844364362728807,electronics,0
TXN_00000081,2063,1035.9082972834644,21,6,0.7397998154838766,grocery,0
TXN_00000082,3885,1243.625721244039,0,4,4.958131541676114,restaurant,0
TXN_00000083,65,9995.321834544027,1,2,5.4951898446096274,electronics,0
TXN_00000084,2569,1518.5496567109574,11,0,34.32473403754007,grocery,0
TXN_00000085,2028,8571.90575178991,17,5,7.932160624637217,restaurant,0
TXN_00000086,2696,3295.5674120831995,21,6,1.3998658084956646,electronics,0
TXN_00000087,1496,729.5132531593582,19,4,10.131467608335043,luxury,0
TXN_00000088,392,3026.360266049284,17,2,1.1262449170100657,grocery,0
TXN_00000089,4515,1288.1617283297105,16,1,12.421522713939444,electronics,0
TXN_00000090,4475,2164.4482902358454,4,5,1.8056243511492327,electronics,0
TXN_00000091,3562,1831.102207159996,14,1,1.8040914622047863,grocery,0
TXN_00000092,2279,6713.897203550301,11,1,1.595773137273209,restaurant,0
TXN_00000093,3100,347.3166820426535,7,6,8.110200341581544,electronics,0
TXN_00000094,201,1467.1723786634052,22,3,6.82008846376682,restaurant,0
TXN_00000095,4876,211.63269909802372,2,5,8.864123360129861,restaurant,0
TXN_00000096,3105,735.0615396049702,18,5,13.71965936580764,restaurant,0
TXN_00000097,4599,199.88088456281173,10,1,3.595207412526696,grocery,0
TXN_00000098,2455,6979.850899573372,19,4,2.831402431534732,fuel,0
TXN_00000099,3646,945.4373342269727,0,1,1.5293972124806243,grocery,0
TXN_00000100,805,3800.0502236160196,16,4,2.267040956567578,restaurant,0
TXN_00000101,2732,3451.1723386333897,7,3,0.4959904524357572,restaurant,0
TXN_00000102,2774,378.19755711746416,2,6,7.957845953937232,grocery,0
TXN_00000103,1571,380.1172454102209,21,1,10.956629920292924,fuel,0
TXN_00000104,2691,1186.8238276280395,3,2,0.04876006396744541,restaurant,0
TXN_00000105,3841,2101.7101914221234,5,1,4.192224591117112,grocery,0
TXN_00000106,1029,1390.974340515137,22,6,7.550907397890822,restaurant,0
TXN_00000107,503,3652.088375837091,23,6,1.3507847947852827,fuel,0
TXN_00000108,4494,1919.3745664608934,1,1,4.015377556449498,electronics,0
TXN_00000109,871,5339.472174361885,1,0,1.6592421277133216,luxury,1
TXN_00000110,4489,2243.6652408370173,7,3,0.007293135697365432,grocery,0
TXN_00000111,207,2243.485506068972,16,1,6.426644271075341,electronics,0
TXN_00000112,1485,2694.6782994381206,15,2,3.3530299092145035,luxury,0
TXN_00000113,864,2309.574761931666,6,1,0.053350047192843086,grocery,0
TXN_00000114,2791,2367.6348170763335,21,4,0.9767810730024061,restaurant,0
TXN_00000115,564,1493.2745847775811,23,5,0.005228742167580424,grocery,0
TXN_00000116,4192,237.27769086170304,2,4,19.42233972726682,grocery,0
TXN_00000117,1758,1150.751783830612,3,4,4.190158708264305,luxury,1
TXN_00000118,1679,3655.815188485697,23,2,5.398929750397121,electronics,0
TXN_00000119,3243,96.82026303099443,17,1,0.4587497309841874,electronics,0
TXN_00000120,4637,2933.058030210929,3,3,1.9714794719419704,grocery,0
TXN_00000121,1060,9889.469338993173,2,3,6.544583328716819,electronics,0
TXN_00000122,1723,1431.587621809018,15,6,1.8091780049658812,restaurant,0
TXN_00000123,3315,596.9555121415827,19,5,3.9138115014951658,fuel,0
TXN_00000124,3158,58.18842102892078,9,0,7.4092132596425015,restaurant,0
TXN_00000125,2626,4823.298837921702,2,1,9.587209211870897,grocery,0
TXN_00000126,2730,398.6214970690816,14,3,9.990009013099225,restaurant,0
TXN_00000127,1598,110.2645293193912,10,5,1.556234998097067,restaurant,0
TXN_00000128,3061,1661.1001790004295,12,3,2.9721904425917236,electronics,0
TXN_00000129,2694,1202.085097814106,19,1,8.038951242506238,restaurant,0
TXN_00000130,4892,8035.203630787671,14,3,3.1084617009607567,restaurant,0
TXN_00000131,3628,1552.1787942977446,10,6,15.958054949973368,electronics,0
TXN_00000132,1364,4511.061887986953,10,3,19.29260726669961,grocery,0
TXN_00000133,1982,6720.404662658855,16,5,10.907258602867685,grocery,0
TXN_00000134,1664,509.0964932499379,15,6,0.7684664106218821,grocery,0
TXN_00000135,1530,1062.87717561301,12,6,8.469416161475362,fuel,0
TXN_00000136,2039,6418.917384170873,23,4,11.237441082360785,electronics,0
TXN_00000137,3303,2029.0548794310114,10,2,4.905269682006216,electronics,0
TXN_00000138,2238,974.0600902584483,4,1,0.9377079950918132,electronics,0
TXN_00000139,1307,1837.5875634938534,12,2,1.7761233203953553,electronics,0
TXN_00000140,4030,3284.1692348005417,11,1,0.6467172602156187,grocery,0
TXN_00000141,2676,2408.0857544945598,20,2,12.670203410131647,grocery,0
TXN_00000142,1283,6779.8269259596555,4,6,2.804712349135524,electronics,0
TXN_00000143,710,8240.709150238843,19,4,7.4635926243352975,grocery,0
TXN_00000144,4745,3107.3136013495837,13,1,15.843990262771394,restaurant,0
TXN_00000145,4414,2724.480863110799,6,4,7.850360835790966,fuel,0
TXN_00000146,3749,34.13155231316644,13,0,4.1994303795506465,electronics,0
TXN_00000147,4780,3827.68501194208,13,2,1.877302690783024,restaurant,0
TXN_00000148,664,1730.0753016972005,6,0,0.8760652033548035,grocery,0
TXN_00000149,1999,5191.398696100371,18,4,17.414320095805262,fuel,0
